,Unnamed: 0,seismic_no,seismic_time,seismic_lat,seismic_lon,seismic_Dep,Mpf,well_name,well_uwi,well_date,well_lat,well_lon,well_Dep,dist,dt,dDep,Lateraldist,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
17033,17033,5737,2016-11-28 06:53:00,54.353,-117.269,3.5,3.0,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-02 00:00:00,54.355048,-117.237099,3.4489400000000003,2.0810222098740656,3.713194444444445,0.051060000000000105,2.0803957110100812,0.012793212522765442,0.006587170233392819,0.30173006816521103,0.272739326713943,0.24861115514973772,0.24076067240272706,0.03799558051439226,0.04751243218201367,0.5721934193367323,0.7071077506658273,0.04893212389781326,0.0009856257745940143,0.10824068595318526,0.1845494480306253,0.1523528633094073,0.12671420580655524,1
17035,17035,5739,2016-11-29 04:12:00,54.355,-117.241,3.5,3.0,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-02 00:00:00,54.355048,-117.237099,3.4489400000000003,0.2580233591993815,2.825,0.051060000000000105,0.2529207984578039,0.007071282687296132,0.012154090712683011,0.5684127838125483,0.5849832294562692,0.5945859740882523,0.5969729278078312,0.01731439148839881,0.020904091974625616,0.0644022522924832,0.6844561346377253,0.03753102292446123,0.0003292222187447094,0.2387907434174888,0.296840660358687,0.314212726830585,0.32173819154207495,1
17037,17037,5741,2016-12-01 01:30:00,54.342,-117.263,3.5,2.7,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-02 00:00:00,54.355048,-117.237099,3.4489400000000003,2.220044897403835,0.9375,0.051060000000000105,2.219457641607247,0.0021163637222805093,0.0009941991853076313,0.2668717431668777,0.23886019056087046,0.21593221735929471,0.20854010428959802,0.002806408268151226,0.0037228772178302966,0.6271096421688375,0.5127695510401925,0.02612815506075891,4.994918672495074e-05,0.012761421126846329,0.03702557169926327,0.029993297991412447,0.024554279853576385,1
17038,17038,5742,2016-12-01 20:25:00,54.342,-117.238,4.5,2.9,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-02 00:00:00,54.355048,-117.237099,3.4489400000000003,1.7928995515485984,0.14930555555555555,1.05106,1.452501868619509,0.03890160645134441,0.03126089054992089,0.8174987266935007,0.7690448382377757,0.7257830701891942,0.7110564623703421,0.01420801866797449,0.018740184929098232,0.28530518359319923,0.7169015504105496,0.022156438043873017,0.001191661684286447,0.058308381537001026,0.15845284174579824,0.14280739863753164,0.1280215423555782,1
17049,17049,5736,2016-11-27 14:52:00,54.352,-117.255,3.5,2.8,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-03 00:00:00,54.355048,-117.237099,3.4489400000000003,1.2099828429185344,5.380555555555556,0.051060000000000105,1.2089050237951775,0.0031879749010253543,0.002916651273814795,0.4390397149791404,0.4221876253694056,0.40535368166663077,0.3993688699407474,0.016356220675772772,0.019296232424669213,0.21720669899779185,0.6343001635132863,0.14221448302341777,8.556714229407458e-05,0.09100774263135808,0.09188730271800591,0.08540411552906735,0.07843645408653993,1
17050,17050,5737,2016-11-28 06:53:00,54.353,-117.269,3.5,3.0,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-03 00:00:00,54.355048,-117.237099,3.4489400000000003,2.0810222098740656,4.7131944444444445,0.051060000000000105,2.0803957110100812,0.011767531913358564,0.006059051688716861,0.27753921855325037,0.25087277534262986,0.22867905125749283,0.22145797163450304,0.04706035143727358,0.0576919108536879,0.5263184919875978,0.6504162271467236,0.06561057315076073,0.0009066043995223692,0.11902168465366393,0.16975341536995348,0.1401381535634384,0.11655504495458795,1
17052,17052,5739,2016-11-29 04:12:00,54.355,-117.241,3.5,3.0,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-03 00:00:00,54.355048,-117.237099,3.4489400000000003,0.2580233591993815,3.825,0.051060000000000105,0.2529207984578039,0.006619958246137178,0.011378356176068931,0.5321338520619218,0.5476466894256989,0.556636539121038,0.5588711455789954,0.02182632388205939,0.02583391636608757,0.060291780146107,0.6407707389148019,0.05121786216370084,0.00030820961884412703,0.26724176136556643,0.27789481261449694,0.29415810737708525,0.3012032594910493,1
17054,17054,5741,2016-12-01 01:30:00,54.342,-117.263,3.5,2.7,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-03 00:00:00,54.355048,-117.237099,3.4489400000000003,2.220044897403835,1.9375,0.051060000000000105,2.219457641607247,0.0020568711114262407,0.0009662514820747471,0.259369773350877,0.23214564701808973,0.20986219676547496,0.20267788167568898,0.0036726871281489515,0.004776363535868396,0.609481108135799,0.4983552048496995,0.037016854300374706,4.854507669554968e-05,0.014826737467144904,0.03598475442122589,0.029150163332254512,0.023864040174660754,1
17055,17055,5742,2016-12-01 20:25:00,54.342,-117.238,4.5,2.9,CHEVRON HZ 102 GRIZZLY 15-9-62-22,102150906222W500,2016-12-03 00:00:00,54.355048,-117.237099,3.4489400000000003,1.7928995515485984,1.1493055555555556,1.05106,1.452501868619509,0.03840379517442897,0.03086085504337607,0.8070374598684132,0.7592036201531904,0.7164954589594009,0.7019573027781979,0.018886715542314428,0.024422064378021902,0.28165422542691454,0.7077275931170658,0.03188456865998841,0.0011764123750979474,0.06881250732817543,0.15642517197388237,0.14097993854131066,0.12638329208042756,1
17069,17069,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-25 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,0.1423611111111111,0.29235999999999995,1.4091707601448171,0.00246542551511163,0.001991302029015175,0.5165788307999971,0.48918626981032404,0.4638073489178679,0.45506629757271944,0.00206500693227847,0.00271910095216201,0.2921981274594891,0.6078175748582342,0.028200185444621367,3.641370534830327e-05,0.0175253638721915,0.047403051458209756,0.04289870322528469,0.038543978708136396,1
