time,number of fractures
2016-06-03,12
2016-06-04,15
2016-06-05,17
2016-06-06,16
2016-06-07,16
2016-06-08,18
2016-06-09,16
2016-06-10,14
2016-06-11,14
2016-06-12,18
2016-06-13,20
2016-06-14,24
2016-06-15,12
2016-06-16,8
2016-06-17,13
2016-06-18,19
2016-06-19,20
2016-06-20,24
2016-06-21,21
2016-06-22,18
2016-06-23,12
2016-06-24,13
2016-06-25,11
2016-06-26,14
2016-06-27,14
2016-06-30,1
2016-07-01,3
2016-07-02,1
2016-07-05,10
2016-07-06,15
2016-07-07,12
2016-07-09,2
2016-07-10,6
2016-07-11,2
2016-07-12,3
2016-07-13,3
2016-07-14,4
2016-07-15,4
2016-07-16,5
2016-07-17,5
2016-07-18,3
2016-07-19,6
2016-07-20,8
2016-07-21,8
2016-07-22,13
2016-07-23,18
2016-07-24,17
2016-07-25,21
2016-07-26,21
2016-07-27,23
2016-07-28,20
2016-07-29,17
2016-07-30,18
2016-07-31,9
2016-08-01,10
2016-08-02,54
2016-08-03,69
2016-08-04,71
2016-08-05,54
2016-08-06,16
2016-08-07,17
2016-08-08,17
2016-08-09,19
2016-08-10,13
2016-08-15,26
2016-08-17,1
2016-08-18,4
2016-08-19,5
2016-08-20,21
2016-08-21,5
2016-08-22,8
2016-08-23,5
2016-08-24,7
2016-08-25,6
2016-08-26,5
2016-08-27,8
2016-08-28,7
2016-08-29,10
2016-08-30,26
2016-08-31,23
2016-09-05,2
2016-09-06,3
2016-09-07,3
2016-09-08,4
2016-09-09,3
2016-09-10,3
2016-09-11,3
2016-09-12,2
2016-09-13,3
2016-09-14,4
2016-09-15,5
2016-09-16,8
2016-09-17,7
2016-09-18,6
2016-09-19,7
2016-09-20,6
2016-09-27,2
2016-09-28,1
2016-09-29,4
2016-09-30,5
2016-10-01,5
2016-10-02,5
2016-10-03,7
2016-10-04,8
2016-10-05,7
2016-10-06,3
2016-10-07,9
2016-10-08,8
2016-10-09,9
2016-10-10,16
2016-10-11,15
2016-10-12,21
2016-10-13,21
2016-10-14,20
2016-10-15,25
2016-10-16,20
2016-10-17,18
2016-10-18,11
2016-10-19,18
2016-10-20,20
2016-10-21,23
2016-10-22,22
2016-10-23,25
2016-10-24,24
2016-10-25,22
2016-10-26,26
2016-10-27,28
2016-10-28,23
2016-10-29,15
2016-10-30,19
2016-10-31,21
2016-11-01,21
2016-11-02,20
2016-11-03,20
2016-11-04,26
2016-11-05,25
2016-11-06,16
2016-11-07,21
2016-11-08,24
2016-11-09,13
2016-11-10,15
2016-11-11,18
2016-11-12,15
2016-11-13,13
2016-11-14,7
2016-11-15,5
2016-11-16,1
2016-11-17,1
2016-11-18,4
2016-11-19,5
2016-11-20,5
2016-11-21,5
2016-11-22,5
2016-11-23,3
2016-11-24,3
2016-11-25,3
2016-11-26,6
2016-11-27,21
2016-11-28,23
2016-11-29,11
2016-11-30,6
2016-12-01,8
2016-12-02,7
2016-12-03,7
2016-12-04,7
2016-12-05,3
2016-12-14,11
2016-12-15,15
2016-12-16,15
2016-12-18,2
2016-12-19,6
2016-12-20,3
2016-12-21,20
2016-12-22,14
2016-12-23,4
2016-12-24,4
2016-12-25,3
2016-12-26,4
2016-12-27,5
2016-12-28,6
2016-12-29,30
2016-12-30,20
2016-12-31,24
2017-01-01,13
2017-01-02,4
2017-01-03,6
2017-01-04,3
2017-01-05,27
2017-01-06,18
2017-01-07,36
2017-01-08,37
2017-01-09,12
2017-01-10,8
2017-01-11,7
2017-01-12,5
2017-01-13,6
2017-01-14,16
2017-01-15,24
2017-01-16,20
2017-01-17,16
2017-01-18,36
2017-01-19,17
2017-01-20,17
2017-01-21,20
2017-01-22,21
2017-01-23,14
2017-01-24,13
2017-01-25,18
2017-01-26,15
2017-01-27,16
2017-01-28,17
2017-01-29,17
2017-01-30,8
2017-01-31,11
2017-02-03,6
2017-02-04,4
2017-02-05,5
2017-02-06,5
2017-02-07,24
2017-02-08,41
2017-02-09,8
2017-02-10,8
2017-02-11,11
2017-02-12,11
2017-02-13,11
2017-02-14,9
2017-02-15,10
2017-02-16,9
2017-02-17,15
2017-02-18,25
2017-02-19,24
2017-02-20,23
2017-02-21,15
2017-02-22,19
2017-02-23,33
2017-02-24,17
2017-02-25,17
2017-02-26,15
2017-02-27,21
2017-02-28,15
2017-03-01,45
2017-03-02,5
2017-03-03,1
2017-03-04,25
2017-03-05,51
2017-03-06,48
2017-03-07,49
2017-03-08,107
2017-03-09,48
2017-03-10,23
2017-03-11,34
2017-03-12,84
2017-03-13,41
2017-03-14,60
2017-03-15,35
2017-03-16,18
2017-03-17,20
2017-03-18,15
2017-03-19,15
2017-03-20,13
2017-03-21,18
2017-03-22,14
2017-03-23,13
2017-03-24,15
2017-03-25,10
2017-03-26,13
2017-03-27,11
2017-03-28,15
2017-03-29,14
2017-03-30,9
2017-03-31,4
2017-04-05,5
2017-04-06,8
2017-04-07,10
2017-04-08,6
2017-04-09,6
2017-04-10,4
2017-04-11,4
2017-04-12,1
2017-05-05,4
2017-05-06,5
2017-05-07,5
2017-05-08,5
2017-05-09,5
2017-05-10,6
2017-05-11,5
2017-05-12,6
2017-05-13,6
2017-05-14,6
2017-05-15,4
2017-05-16,6
2017-05-17,7
2017-05-18,6
2017-05-19,12
2017-05-20,14
2017-05-21,12
2017-05-22,13
2017-05-23,12
2017-05-24,13
2017-05-25,13
2017-05-26,52
2017-05-27,11
2017-05-28,13
2017-05-29,13
2017-05-30,15
2017-05-31,53
2017-06-01,11
2017-06-02,13
2017-06-03,14
2017-06-04,13
2017-06-05,14
2017-06-06,50
2017-06-07,15
2017-06-08,13
2017-06-09,16
2017-06-10,15
2017-06-11,16
2017-06-12,13
2017-06-13,10
2017-06-14,8
2017-06-15,8
2017-06-16,9
2017-06-17,7
2017-06-18,5
2017-06-19,11
2017-06-20,14
2017-06-21,13
2017-06-22,6
2017-06-23,7
2017-06-24,8
2017-06-25,13
2017-06-26,12
2017-06-27,38
2017-06-28,24
2017-06-29,25
2017-06-30,13
2017-07-01,13
2017-07-02,6
2017-07-03,5
2017-07-04,16
2017-07-05,14
2017-07-06,21
2017-07-07,28
2017-07-08,29
2017-07-09,33
2017-07-10,31
2017-07-11,31
2017-07-12,25
2017-07-13,21
2017-07-14,29
2017-07-15,70
2017-07-16,93
2017-07-17,30
2017-07-18,18
2017-07-19,27
2017-07-20,33
2017-07-21,18
2017-07-22,17
2017-07-23,20
2017-07-24,11
2017-07-25,20
2017-07-26,23
2017-07-27,19
2017-07-28,20
2017-07-29,26
2017-07-30,23
2017-07-31,19
2017-08-01,25
2017-08-02,32
2017-08-03,28
2017-08-04,22
2017-08-05,21
2017-08-06,28
2017-08-07,12
2017-08-08,23
2017-08-09,16
2017-08-10,9
2017-08-11,18
2017-08-12,19
2017-08-13,10
2017-08-14,7
2017-08-15,10
2017-08-16,9
2017-08-17,9
2017-08-18,39
2017-08-19,42
2017-08-20,31
2017-08-21,11
2017-08-22,11
2017-08-23,11
2017-08-24,11
2017-08-25,11
2017-08-26,13
2017-08-27,13
2017-08-28,14
2017-08-29,15
2017-08-30,14
2017-08-31,13
2017-09-01,13
2017-09-02,15
2017-09-03,16
2017-09-04,18
2017-09-05,11
2017-09-06,12
2017-09-07,16
2017-09-08,16
2017-09-09,16
2017-09-10,14
2017-09-11,9
2017-09-12,15
2017-09-13,11
2017-09-14,6
2017-09-15,8
2017-09-16,20
2017-09-17,36
2017-09-18,30
2017-09-19,25
2017-09-20,21
2017-09-21,13
2017-09-22,11
2017-09-23,11
2017-09-24,13
2017-09-25,33
2017-09-26,30
2017-09-27,29
2017-09-28,28
2017-09-29,30
2017-09-30,26
2017-10-02,5
2017-10-03,9
2017-10-04,12
2017-10-05,7
2017-10-10,13
2017-10-11,8
2017-10-12,22
2017-10-13,4
2017-10-14,7
2017-10-15,7
2017-10-16,9
2017-10-18,1
2017-10-19,6
2017-10-20,8
2017-10-21,8
2017-10-22,9
2017-10-23,8
2017-10-24,5
2017-10-25,8
2017-10-26,10
2017-10-27,14
2017-10-28,16
2017-10-29,14
2017-10-30,8
2017-10-31,9
2017-11-01,6
2017-11-02,7
2017-11-03,7
2017-11-04,7
2017-11-05,7
2017-11-06,9
2017-11-07,9
2017-11-08,7
2017-11-09,9
2017-11-10,10
2017-11-11,14
2017-11-12,16
2017-11-13,16
2017-11-14,18
2017-11-15,13
2017-11-16,14
2017-11-17,4
2017-11-18,6
2017-11-19,23
2017-11-20,21
2017-11-21,8
2017-11-22,20
2017-11-23,14
2017-11-24,17
2017-11-30,1
2017-12-01,3
2017-12-02,5
2017-12-03,4
2017-12-04,6
2017-12-05,6
2017-12-06,7
2017-12-07,4
2017-12-08,7
2017-12-09,7
2017-12-10,12
2017-12-11,14
2017-12-12,15
2017-12-13,14
2017-12-14,16
2017-12-15,14
2017-12-16,6
2017-12-17,2
2017-12-20,1
2018-01-01,3
2018-01-02,5
2018-01-03,5
2018-01-04,5
2018-01-05,6
2018-01-06,10
2018-01-07,17
2018-01-08,14
2018-01-09,9
2018-01-10,9
2018-01-11,12
2018-01-12,13
2018-01-13,10
2018-01-14,6
2018-01-15,11
2018-01-16,14
2018-01-17,7
2018-01-18,12
2018-01-19,37
2018-01-20,11
2018-01-21,13
2018-01-22,26
2018-01-23,33
2018-01-24,24
2018-01-25,13
2018-01-26,4
2018-01-27,4
2018-01-28,2
2018-01-29,25
2018-01-30,1
2018-01-31,2
2018-02-01,4
2018-02-02,4
2018-02-03,5
2018-02-04,4
2018-02-05,3
2018-02-06,5
2018-02-07,17
2018-02-08,30
2018-02-09,42
2018-02-10,50
2018-02-11,46
2018-02-12,14
2018-02-13,31
2018-02-14,27
